filename,CWE_Target,RQ4_Description,Best_Matching_CWE_ID,Best_Matching_CWE_Text,Cosine_Similarity,Top_Matches,Correct_Match,Top3_Match_Correct,Top5_Match_Correct
insecure_login.py,89,"CWE-ID: CWE-89
Description: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')

The function is vulnerable to SQL injection attacks. The input parameters `username` and `password` are directly concatenated into the SQL query without proper sanitization or escaping, allowing an attacker to inject malicious SQL code. This can lead to unauthorized access, data tampering, or even complete system compromise.",79,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,0.7337429,"[{'CWE-ID': 79, 'Full_Text': ""CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users."", 'Similarity': np.float32(0.7337429)}, {'CWE-ID': 89, 'Full_Text': ""CWE-89 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') The product constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component."", 'Similarity': np.float32(0.6874277)}, {'CWE-ID': 84, 'Full_Text': 'CWE-84 Improper Neutralization of Encoded URI Schemes in a Web Page The web application improperly neutralizes user-controlled input for executable script disguised with URI encodings.', 'Similarity': np.float32(0.67463374)}, {'CWE-ID': 87, 'Full_Text': 'CWE-87 Improper Neutralization of Alternate XSS Syntax The product does not neutralize or incorrectly neutralizes user-controlled input for alternate script syntax.', 'Similarity': np.float32(0.64242506)}, {'CWE-ID': 643, 'Full_Text': ""CWE-643 Improper Neutralization of Data within XPath Expressions ('XPath Injection') The product uses external input to dynamically construct an XPath expression used to retrieve data from an XML database, but it does not neutralize or incorrectly neutralizes that input. This allows an attacker to control the structure of the query."", 'Similarity': np.float32(0.6416895)}]",False,True,True
xss_reflected.py,79,"CWE-ID: CWE-79
Description: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')",79,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,0.8830692,"[{'CWE-ID': 79, 'Full_Text': ""CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users."", 'Similarity': np.float32(0.8830692)}, {'CWE-ID': 81, 'Full_Text': 'CWE-81 Improper Neutralization of Script in an Error Message Web Page The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special characters that could be interpreted as web-scripting elements when they are sent to an error page.', 'Similarity': np.float32(0.7326706)}, {'CWE-ID': 80, 'Full_Text': 'CWE-80 Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS) The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special characters such as ""<"", "">"", and ""&"" that could be interpreted as web-scripting elements when they are sent to a downstream component that processes web pages.', 'Similarity': np.float32(0.71649164)}, {'CWE-ID': 84, 'Full_Text': 'CWE-84 Improper Neutralization of Encoded URI Schemes in a Web Page The web application improperly neutralizes user-controlled input for executable script disguised with URI encodings.', 'Similarity': np.float32(0.7052917)}, {'CWE-ID': 83, 'Full_Text': 'CWE-83 Improper Neutralization of Script in Attributes in a Web Page The product does not neutralize or incorrectly neutralizes ""javascript:"" or other URIs from dangerous attributes within tags, such as onmouseover, onload, onerror, or style.', 'Similarity': np.float32(0.6995647)}]",True,True,True
buffer_overflow.py,120,"CWE-ID: CWE-120
Description: Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')",120,"CWE-120 Buffer Copy without Checking Size of Input ('Classic Buffer Overflow') The product copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer, leading to a buffer overflow.",0.8723343,"[{'CWE-ID': 120, 'Full_Text': ""CWE-120 Buffer Copy without Checking Size of Input ('Classic Buffer Overflow') The product copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer, leading to a buffer overflow."", 'Similarity': np.float32(0.8723343)}, {'CWE-ID': 805, 'Full_Text': 'CWE-805 Buffer Access with Incorrect Length Value The product uses a sequential operation to read or write a buffer, but it uses an incorrect length value that causes it to access memory that is outside of the bounds of the buffer.', 'Similarity': np.float32(0.65368915)}, {'CWE-ID': 131, 'Full_Text': 'CWE-131 Incorrect Calculation of Buffer Size The product does not correctly calculate the size to be used when allocating a buffer, which could lead to a buffer overflow.', 'Similarity': np.float32(0.64756155)}, {'CWE-ID': 680, 'Full_Text': 'CWE-680 Integer Overflow to Buffer Overflow The product performs a calculation to determine how much memory to allocate, but an integer overflow can occur that causes less memory to be allocated than expected, leading to a buffer overflow.', 'Similarity': np.float32(0.63790125)}, {'CWE-ID': 806, 'Full_Text': 'CWE-806 Buffer Access Using Size of Source Buffer The product uses the size of a source buffer when reading from or writing to a destination buffer, which may cause it to access memory that is outside of the bounds of the buffer.', 'Similarity': np.float32(0.6378732)}]",True,True,True
idor.py,639,"CWE-ID: CWE-639
Description: Authorization Bypass Through User-Controlled Key, also known as Insecure Direct Object Reference (IDOR), where an application uses a user-supplied identifier to access an object without verifying the user's permissions, allowing unauthorized access to sensitive data.",639,CWE-639 Authorization Bypass Through User-Controlled Key The system's authorization functionality does not prevent one user from gaining access to another user's data or record by modifying the key value identifying the data.,0.7629696,"[{'CWE-ID': 639, 'Full_Text': ""CWE-639 Authorization Bypass Through User-Controlled Key The system's authorization functionality does not prevent one user from gaining access to another user's data or record by modifying the key value identifying the data."", 'Similarity': np.float32(0.7629696)}, {'CWE-ID': 1302, 'Full_Text': 'CWE-1302 Missing Security Identifier The product implements a security identifier mechanism to differentiate what actions are allowed or disallowed when a transaction originates from an entity. A transaction is sent without a security identifier.', 'Similarity': np.float32(0.7174983)}, {'CWE-ID': 566, 'Full_Text': 'CWE-566 Authorization Bypass Through User-Controlled SQL Primary Key The product uses a database table that includes records that should not be accessible to an actor, but it executes a SQL statement with a primary key that can be controlled by that actor.', 'Similarity': np.float32(0.69841164)}, {'CWE-ID': 1263, 'Full_Text': 'CWE-1263 Improper Physical Access Control The product is designed with access restricted to certain information, but it does not sufficiently protect against an unauthorized actor with physical access to these areas.', 'Similarity': np.float32(0.6842304)}, {'CWE-ID': 1294, 'Full_Text': 'CWE-1294 Insecure Security Identifier Mechanism The System-on-Chip (SoC) implements a Security Identifier mechanism to differentiate what actions are allowed or disallowed when a transaction originates from an entity. However, the Security Identifiers are not correctly implemented.', 'Similarity': np.float32(0.6706849)}]",True,True,True
withdraw.py,362,"CWE-ID: CWE-362
Description: Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')",362,"CWE-362 Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition') The product contains a code sequence that can run concurrently with other code, and the code sequence requires temporary, exclusive access to a shared resource, but a timing window exists in which the shared resource can be modified by another code sequence that is operating concurrently.",0.84756523,"[{'CWE-ID': 362, 'Full_Text': ""CWE-362 Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition') The product contains a code sequence that can run concurrently with other code, and the code sequence requires temporary, exclusive access to a shared resource, but a timing window exists in which the shared resource can be modified by another code sequence that is operating concurrently."", 'Similarity': np.float32(0.84756523)}, {'CWE-ID': 662, 'Full_Text': 'CWE-662 Improper Synchronization The product utilizes multiple threads or processes to allow temporary access to a shared resource that can only be exclusive to one process at a time, but it does not properly synchronize these actions, which might cause simultaneous accesses of this resource by multiple threads or processes.', 'Similarity': np.float32(0.78755057)}, {'CWE-ID': 821, 'Full_Text': 'CWE-821 Incorrect Synchronization The product utilizes a shared resource in a concurrent manner, but it does not correctly synchronize access to the resource.', 'Similarity': np.float32(0.7754595)}, {'CWE-ID': 366, 'Full_Text': 'CWE-366 Race Condition within a Thread If two threads of execution use a resource simultaneously, there exists the possibility that resources may be used while invalid, in turn making the state of execution undefined.', 'Similarity': np.float32(0.7448581)}, {'CWE-ID': 567, 'Full_Text': 'CWE-567 Unsynchronized Access to Shared Data in a Multithreaded Context The product does not properly synchronize shared data, such as static variables across threads, which can lead to undefined behavior and unpredictable data changes.', 'Similarity': np.float32(0.7079433)}]",True,True,True
authenticate.py,259,"CWE-ID: CWE-259
Description: Use of Hard-Coded Password - The software contains a hard-coded password, which can be discovered and exploited by attackers.",259,"CWE-259 Use of Hard-coded Password The product contains a hard-coded password, which it uses for its own inbound authentication or for outbound communication to external components.",0.8641395,"[{'CWE-ID': 259, 'Full_Text': 'CWE-259 Use of Hard-coded Password The product contains a hard-coded password, which it uses for its own inbound authentication or for outbound communication to external components.', 'Similarity': np.float32(0.8641395)}, {'CWE-ID': 798, 'Full_Text': 'CWE-798 Use of Hard-coded Credentials The product contains hard-coded credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data.', 'Similarity': np.float32(0.79904246)}, {'CWE-ID': 1393, 'Full_Text': 'CWE-1393 Use of Default Password The product uses default passwords for potentially critical functionality.', 'Similarity': np.float32(0.69807184)}, {'CWE-ID': 321, 'Full_Text': 'CWE-321 Use of Hard-coded Cryptographic Key The use of a hard-coded cryptographic key significantly increases the possibility that encrypted data may be recovered.', 'Similarity': np.float32(0.69715655)}, {'CWE-ID': 260, 'Full_Text': 'CWE-260 Password in Configuration File The product stores a password in a configuration file that might be accessible to actors who do not know the password.', 'Similarity': np.float32(0.69440484)}]",True,True,True
redirect.py,601,"CWE-ID: CWE-601
Description: Injection of Redirect to Untrusted Site ('Open Redirect')",601,"CWE-601 URL Redirection to Untrusted Site ('Open Redirect') A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks.",0.78173625,"[{'CWE-ID': 601, 'Full_Text': ""CWE-601 URL Redirection to Untrusted Site ('Open Redirect') A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks."", 'Similarity': np.float32(0.78173625)}, {'CWE-ID': 698, 'Full_Text': 'CWE-698 Execution After Redirect (EAR) The web application sends a redirect to another location, but instead of exiting, it executes additional code.', 'Similarity': np.float32(0.636293)}, {'CWE-ID': 425, 'Full_Text': ""CWE-425 Direct Request ('Forced Browsing') The web application does not adequately enforce appropriate authorization on all restricted URLs, scripts, or files."", 'Similarity': np.float32(0.6152493)}, {'CWE-ID': 536, 'Full_Text': 'CWE-536 Servlet Runtime Error Message Containing Sensitive Information A servlet error message indicates that there exists an unhandled exception in your web application code and may provide useful information to an attacker.', 'Similarity': np.float32(0.5847702)}, {'CWE-ID': 1275, 'Full_Text': 'CWE-1275 Sensitive Cookie with Improper SameSite Attribute The SameSite attribute for sensitive cookies is not set, or an insecure value is used.', 'Similarity': np.float32(0.5777081)}]",True,True,True
log_password.py,532,"CWE-ID: CWE-532
Description: Information Exposure Through Log Files - The software logs sensitive information, such as passwords or encryption keys, in a manner that is accessible to unauthorized actors.",532,CWE-532 Insertion of Sensitive Information into Log File Information written to log files can be of a sensitive nature and give valuable guidance to an attacker or expose sensitive user information.,0.83328867,"[{'CWE-ID': 532, 'Full_Text': 'CWE-532 Insertion of Sensitive Information into Log File Information written to log files can be of a sensitive nature and give valuable guidance to an attacker or expose sensitive user information.', 'Similarity': np.float32(0.83328867)}, {'CWE-ID': 533, 'Full_Text': 'CWE-533 DEPRECATED: Information Exposure Through Server Log Files This entry has been deprecated because its abstraction was too low-level.  See CWE-532.', 'Similarity': np.float32(0.8056368)}, {'CWE-ID': 534, 'Full_Text': 'CWE-534 DEPRECATED: Information Exposure Through Debug Log Files This entry has been deprecated because its abstraction was too low-level.  See CWE-532.', 'Similarity': np.float32(0.7837924)}, {'CWE-ID': 542, 'Full_Text': 'CWE-542 DEPRECATED: Information Exposure Through Cleanup Log Files This entry has been deprecated because its abstraction was too low-level.  See CWE-532.', 'Similarity': np.float32(0.74474543)}, {'CWE-ID': 779, 'Full_Text': 'CWE-779 Logging of Excessive Data The product logs too much information, making log files hard to process and possibly hindering recovery efforts or forensic analysis after an attack.', 'Similarity': np.float32(0.7305681)}]",True,True,True
hash_password.py,327,"CWE-ID: CWE-327
Description: Use of a Broken or Risky Cryptographic Algorithm - The software uses a cryptographic algorithm that is broken or risky, which can allow attackers to easily defeat the algorithm and access sensitive information.",327,CWE-327 Use of a Broken or Risky Cryptographic Algorithm The product uses a broken or risky cryptographic algorithm or protocol.,0.8855376,"[{'CWE-ID': 327, 'Full_Text': 'CWE-327 Use of a Broken or Risky Cryptographic Algorithm The product uses a broken or risky cryptographic algorithm or protocol.', 'Similarity': np.float32(0.8855376)}, {'CWE-ID': 1240, 'Full_Text': 'CWE-1240 Use of a Cryptographic Primitive with a Risky Implementation To fulfill the need for a cryptographic primitive, the product implements a cryptographic algorithm using a non-standard, unproven, or disallowed/non-compliant cryptographic implementation.', 'Similarity': np.float32(0.73226655)}, {'CWE-ID': 507, 'Full_Text': 'CWE-507 Trojan Horse The product appears to contain benign or useful functionality, but it also contains code that is hidden from normal operation that violates the intended security policy of the user or the system administrator.', 'Similarity': np.float32(0.6860702)}, {'CWE-ID': 321, 'Full_Text': 'CWE-321 Use of Hard-coded Cryptographic Key The use of a hard-coded cryptographic key significantly increases the possibility that encrypted data may be recovered.', 'Similarity': np.float32(0.6804199)}, {'CWE-ID': 325, 'Full_Text': 'CWE-325 Missing Cryptographic Step The product does not implement a required step in a cryptographic algorithm, resulting in weaker encryption than advertised by the algorithm.', 'Similarity': np.float32(0.66749597)}]",True,True,True
command_injection.py,78,"CWE-ID: CWE-78
Description: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')",78,"CWE-78 Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection') The product constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component.",0.86679876,"[{'CWE-ID': 78, 'Full_Text': ""CWE-78 Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection') The product constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component."", 'Similarity': np.float32(0.86679876)}, {'CWE-ID': 77, 'Full_Text': ""CWE-77 Improper Neutralization of Special Elements used in a Command ('Command Injection') The product constructs all or part of a command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended command when it is sent to a downstream component."", 'Similarity': np.float32(0.7759845)}, {'CWE-ID': 88, 'Full_Text': ""CWE-88 Improper Neutralization of Argument Delimiters in a Command ('Argument Injection') The product constructs a string for a command to be executed by a separate component in another control sphere, but it does not properly delimit the intended arguments, options, or switches within that command string."", 'Similarity': np.float32(0.7069886)}, {'CWE-ID': 74, 'Full_Text': ""CWE-74 Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection') The product constructs all or part of a command, data structure, or record using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify how it is parsed or interpreted when it is sent to a downstream component."", 'Similarity': np.float32(0.6942135)}, {'CWE-ID': 94, 'Full_Text': ""CWE-94 Improper Control of Generation of Code ('Code Injection') The product constructs all or part of a code segment using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the intended code segment."", 'Similarity': np.float32(0.68345994)}]",True,True,True
set_cookie.py,613,"CWE-ID: CWE-613
Description: Insufficient Session Expiration, which occurs when a web application does not properly invalidate or expire its session management cookies, allowing an attacker to reuse the session ID and gain unauthorized access.",613,"CWE-613 Insufficient Session Expiration According to WASC, ""Insufficient Session Expiration is when a web site permits an attacker to reuse old session credentials or session IDs for authorization.""",0.89142835,"[{'CWE-ID': 613, 'Full_Text': 'CWE-613 Insufficient Session Expiration According to WASC, ""Insufficient Session Expiration is when a web site permits an attacker to reuse old session credentials or session IDs for authorization.""', 'Similarity': np.float32(0.89142835)}, {'CWE-ID': 6, 'Full_Text': 'CWE-6 J2EE Misconfiguration: Insufficient Session-ID Length The J2EE application is configured to use an insufficient session ID length.', 'Similarity': np.float32(0.71631044)}, {'CWE-ID': 384, 'Full_Text': 'CWE-384 Session Fixation Authenticating a user, or otherwise establishing a new user session, without invalidating any existing session identifier gives an attacker the opportunity to steal authenticated sessions.', 'Similarity': np.float32(0.69726807)}, {'CWE-ID': 565, 'Full_Text': 'CWE-565 Reliance on Cookies without Validation and Integrity Checking The product relies on the existence or values of cookies when performing security-critical operations, but it does not properly ensure that the setting is valid for the associated user.', 'Similarity': np.float32(0.6885947)}, {'CWE-ID': 784, 'Full_Text': 'CWE-784 Reliance on Cookies without Validation and Integrity Checking in a Security Decision The product uses a protection mechanism that relies on the existence or values of a cookie, but it does not properly ensure that the cookie is valid for the associated user.', 'Similarity': np.float32(0.6415367)}]",True,True,True
get_user_data.py,89,"CWE-ID: CWE-89
Description: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')

The function is vulnerable to SQL injection because it directly embeds the user-provided `user_id` into the SQL query without proper sanitization or escaping. This allows an attacker to inject malicious SQL code, potentially leading to unauthorized data access, modification, or deletion.",89,"CWE-89 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') The product constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component.",0.6876844,"[{'CWE-ID': 89, 'Full_Text': ""CWE-89 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') The product constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component."", 'Similarity': np.float32(0.6876844)}, {'CWE-ID': 79, 'Full_Text': ""CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users."", 'Similarity': np.float32(0.6763293)}, {'CWE-ID': 652, 'Full_Text': ""CWE-652 Improper Neutralization of Data within XQuery Expressions ('XQuery Injection') The product uses external input to dynamically construct an XQuery expression used to retrieve data from an XML database, but it does not neutralize or incorrectly neutralizes that input. This allows an attacker to control the structure of the query."", 'Similarity': np.float32(0.62895656)}, {'CWE-ID': 84, 'Full_Text': 'CWE-84 Improper Neutralization of Encoded URI Schemes in a Web Page The web application improperly neutralizes user-controlled input for executable script disguised with URI encodings.', 'Similarity': np.float32(0.6279708)}, {'CWE-ID': 643, 'Full_Text': ""CWE-643 Improper Neutralization of Data within XPath Expressions ('XPath Injection') The product uses external input to dynamically construct an XPath expression used to retrieve data from an XML database, but it does not neutralize or incorrectly neutralizes that input. This allows an attacker to control the structure of the query."", 'Similarity': np.float32(0.6252095)}]",True,True,True
